[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000506s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.015662s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000365s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.054081s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.001034s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.043234s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000265s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.054234s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000296s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.044199s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000273s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ view_template ] --START--
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000318s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000358s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | NOTIC: [8] Undefined variable: Cart_counts 142dd4240f240a4074b127db4627ab71.php 第 148 行.
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' 142dd4240f240a4074b127db4627ab71.php 第 444 行.
