[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002269s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000272s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002177s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000270s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.012635s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.043532s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.002904s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.042020s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=5 ORDER BY sort LIMIT 6   [ RunTime:0.000383s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=6 ORDER BY sort LIMIT 1   [ RunTime:0.000179s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=7 ORDER BY sort LIMIT 2   [ RunTime:0.000151s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ view_template ] --START--
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | INFO: Run LocationTemplate Behavior [ RunTime:0.046397s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.046482s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ view_parse ] --START--
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined variable: Cart_counts a62833cbd1250a21ad9c7c941a5afaf4.php 第 148 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' a62833cbd1250a21ad9c7c941a5afaf4.php 第 321 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined variable: fake_action_name a62833cbd1250a21ad9c7c941a5afaf4.php 第 325 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined variable: define_fake_action_value a62833cbd1250a21ad9c7c941a5afaf4.php 第 327 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: status a62833cbd1250a21ad9c7c941a5afaf4.php 第 329 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: userid a62833cbd1250a21ad9c7c941a5afaf4.php 第 331 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: page a62833cbd1250a21ad9c7c941a5afaf4.php 第 333 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: pid a62833cbd1250a21ad9c7c941a5afaf4.php 第 335 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: rid a62833cbd1250a21ad9c7c941a5afaf4.php 第 337 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: sid a62833cbd1250a21ad9c7c941a5afaf4.php 第 339 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: cid a62833cbd1250a21ad9c7c941a5afaf4.php 第 341 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: id a62833cbd1250a21ad9c7c941a5afaf4.php 第 343 行.
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | NOTIC: [8] Undefined index: category a62833cbd1250a21ad9c7c941a5afaf4.php 第 345 行.
