[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ app_begin ] --START--
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000843s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000938s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001935s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002914s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000285s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001681s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000186s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001719s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000182s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001639s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000183s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001962s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000236s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000203s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001997s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000302s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001919s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000238s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001810s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000242s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002296s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000252s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002536s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000320s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002173s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000292s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002238s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000433s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002472s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000344s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001810s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000251s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001782s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000314s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001701s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000242s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.002349s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000265s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.054126s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000260s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=5 ORDER BY sort LIMIT 6   [ RunTime:0.000176s ]
[ 2013-09-07T08:35:23+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=6 ORDER BY sort LIMIT 1   [ RunTime:0.000150s ]
