[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000361s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000410s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000222s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000252s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.001692s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE publish=1 ORDER BY sort,level  [ RunTime:0.000192s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_category` [ RunTime:0.001892s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_advert_category` ORDER BY sort,create_date  [ RunTime:0.000179s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.001767s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` ORDER BY sort,create_date  [ RunTime:0.000199s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000377s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000436s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' a07fe2cf594cb6cde914991aba535d51.php 第 229 行.
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: page a07fe2cf594cb6cde914991aba535d51.php 第 233 行.
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: sid a07fe2cf594cb6cde914991aba535d51.php 第 235 行.
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: cid a07fe2cf594cb6cde914991aba535d51.php 第 237 行.
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: id a07fe2cf594cb6cde914991aba535d51.php 第 239 行.
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.023999s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024051s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000395s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000167s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000104s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000230s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000987s ]
[ 2013-09-06T10:43:16+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000348s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000473s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Tag[ route_check ] --START--
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000660s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000751s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000484s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000559s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.002967s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE publish=1 ORDER BY sort,level  [ RunTime:0.000385s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_category` [ RunTime:0.002083s ]
[ 2013-09-06T10:43:17+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | SQL: SELECT * FROM `xnfy520_yaomai_advert_category` ORDER BY sort,create_date  [ RunTime:0.000264s ]
